Genre_origine;Genre1;Genre2
string orchestra;classical;
pop nacional;pop;
canadian americana;rock;folk
mento;folk;reggae
birmingham metal;metal;
nwothm;metal;
israeli classical piano;classical;
uk alternative hip hop;rap;
gothic post-punk;rock;
nashville indie;rock;
samba-rock;rock;
ottawa rap;rap;
indie dream pop;rock;pop
canadian post-hardcore;metal;
uilleann pipes;rock;folk
porro;folk;
brazilian boogie;rock;electro
uptempo hardcore;metal;
venezuelan hip hop;rap;
classic peruvian pop;classical;pop
sitar;folk;
russian post-punk;rock;
full on;electro;
tollywood;folk;
japanese instrumental;classical;
italian renaissance;classical;
middle earth;chill;rock
madrigal;folk;
argentine indie;rock;
brass ensemble;classical;
harp;classical;
chunchaca;folk;
dutch trance;electro;
grand rapids indie;rock;rap
anarcho-punk;rock;
washington indie;rock;
future house;electro;
swing revival;jazz;
japanese classical;classical;
classic dubstep;classical;electro
japanese classical performance;classical;
synth funk;r&b;soul
latin afrobeat;jazz;folk
flint hip hop;rap;
vintage old-time;folk;
classic korean pop;classical;pop
japanese emo;rock;
sertanejo pop;pop;
cambodian rock;rock;
texas pop punk;pop;rock
australian country;country;
slam poetry;rap;
nu-metalcore;metal;
gothic symphonic metal;metal;
cha-cha-cha;latino;
crack rock steady;rock;
australian psych;electro;rock
future rock;rock;
nigerian hip hop;rap;
azonto;electro;
barbadian pop;pop;
halloween;pop;
colombian rock;rock;
deep euro house;electro;
uk worship;pop;
folkmusik;folk;
uk metalcore;metal;
danish jazz;jazz;
vancouver indie;rock;
gospel singers;blues;
new england emo;rock;
accordion;folk;
swedish hard rock;rock;
ballet class;classical;
berlin school;electro;
narodna muzika;folk;jazz
spa;jazz;
italo dance;electro;
sevdah;folk;
boogie;electro;r&b
australian house;electro;
rap dominicano;rap;
canadian blues;blues;
anadolu rock;rock;
kannada bhava geethe;folk;
son cubano;latino;
cumbia lagunera;latino;
vegas indie;rock;
mantra;pop;rock
bandoneon;latino;
italian progressive rock;rock;
art song;classical;
psychedelic folk rock;rock;electro
minimal tech house;electro;
brighton indie;rock;
british jazz;jazz;
danish electronic;electro;
musica andina;folk;
modern jazz piano;jazz;
american shoegaze;rock;
contemporary classical piano;classical;
canadian psychedelic;electro;rock
christian metalcore;metal;
kentucky mountain folk;folk;
african-american classical;classical;
naija worship;folk;
post-punk argentina;rock;
copla;folk;
street punk;rock;
pakistani pop;pop;
deathrash;metal;
classic danish pop;classical;pop
mod revival;r&b;jazz
straight-ahead jazz;jazz;
new york drill;rap;
persian traditional;folk;
serialism;electro;
latin american classical piano;classical;
queercore;metal;
turkish psych;electro;rock
italian soundtrack;classical;
italian classical piano;classical;
post-minimalism;electro;
neo-traditional bluegrass;country;
music box;classical;
mainland chinese pop;pop;
pop flamenco;pop;
gothenburg indie;rock;
jig and reel;folk;
musica infantil;chill;
malaysian mandopop;pop;
classic afrobeat;classical;
indie psych-pop;rock;pop
swedish singer-songwriter;pop;
urbano espanol;latino;
traditional bluegrass;country;
british comedy;folk;
japanese new wave;rock;pop
pittsburgh rap;rap;
danish metal;metal;
pop quebecois;pop;
experimental vocal;electro;
acousmatic;electro;
chilena;latino;
nashville hip hop;rap;
son cubano clasico;latino;
fort worth indie;rock;
polka;folk;
desert blues;blues;
classic italian folk pop;classical;folk
kayokyoku;pop;folk
salsa peruana;latino;
southern metal;metal;
pinoy reggae;reggae;
shimmer psych;electro;chill
bc underground hip hop;rap;
salsa choke;latino;
arabesk;pop;
turbo folk;folk;
scottish electronic;electro;
turkish classical;classical;
louisville indie;rock;
sky room;electro;
british death metal;metal;
ukulele;folk;
papuri;blues;
italian library music;chill;
latin soundtrack;classical;latino
spanish rock;rock;
progressive groove metal;metal;
military rap;rap;
indie rockism;rock;
mississippi hip hop;rap;
canadian children's music;chill;
punjabi pop;pop;
black thrash;metal;
norwegian contemporary jazz;jazz;
german punk;rock;
darksynth;electro;
anime latino;latino;
ghanaian hip hop;rap;
welsh indie;rock;
brazilian classical piano;classical;
mashup;pop;
tabla;folk;
nz reggae;reggae;
north carolina indie;rock;
classic psychedelic rock;classical;electro
chinese classical performance;classical;
collage pop;pop;
musica nicaraguense;pop;rock
austrian choir;classical;
trad jazz catala;jazz;
portland punk;rock;
nueva ola chilena;rock;
boston folk;folk;
alabama indie;rock;
canterbury scene;rock;
irish hip hop;rap;
nuevo flamenco;latino;
nisiotika;classical;
nordic house;electro;
pirate;classical;
lancaster pa indie;rock;
dhrupad;classical;
rune folk;folk;
cumbia villera;folk;
russian pop;pop;
viral trap;rap;
italian violin;classical;
second line;folk;
vermont indie;rock;
orquesta tipica;pop;
irish pub song;rock;
deathgrind;metal;
hands up;electro;
kompa;reggae;
uk dancehall;reggae;
grunge pop;pop;rock
omaha indie;rock;
pakistani folk;folk;
bmore;electro;
japanese electropop;electro;pop
ambient pop;pop;
irish pop;pop;
kingston on indie;rock;
icelandic folk;folk;
moldovan pop;pop;
deep minimal techno;electro;
auckland indie;rock;
drone metal;metal;
bubble trance;electro;
hoerspiel;classical;
german alternative rock;rock;
modern jazz trio;jazz;
south carolina indie;rock;
dansktop;electro;
manguebeat;rock;
vancouver metal;metal;
streichquartett;classical;
country boogie;country;
jovem guarda;rock;
classical oboe;classical;
pinoy traditional;folk;
scottish folk;folk;
latinx alternative;rock;latino
math rock;rock;
croatian rock;rock;
old west;country;
bard;classical;
contemporary folk;folk;
classic polish pop;classical;pop
neo-rockabilly;rock;
ann arbor indie;rock;
dark techno;electro;
uk pop punk;pop;rock
norwegian black metal;metal;
dutch rock;rock;
ambient worship;chill;
buffalo ny indie;rock;
muzica populara;pop;
gospel blues;blues;
metal guitar;metal;
musica potosina;folk;
romanian rock;rock;
south african pop;pop;
pop peruano;pop;
croatian pop;pop;
j-pop girl group;pop;
london rap;rap;
texas punk;rock;
western americana;folk;
gospel soul;soul;blues
classic j-rock;rock;classical
viola;classical;
kc indie;rock;
bay area hip hop;rap;
quebec indie;rock;
classical countertenor;classical;
bluegrass fiddle;country;
chill out;chill;
new wave of thrash metal;metal;rock
oud;classical;
danish pop;pop;
nordic orchestra;classical;
rhode island indie;rock;
stl indie;rock;
mountain dulcimer;classical;
horror synth;electro;
estonian pop;pop;
argentine hip hop;rap;
swancore;metal;
dream trance;electro;
sound team;rock;
float house;electro;
rap underground mexicano;rap;
drone folk;folk;
deep comedy;folk;
australian garage punk;rock;
german thrash metal;metal;
new isolationism;folk;
nordic folk;folk;
brazilian reggae;reggae;
azeri traditional;folk;
chinese r&b;r&b;
shakuhachi;classical;
historical keyboard;chill;
tzadik;folk;
japanese alternative rock;rock;
deep full on;electro;
liverpool indie;rock;
nz singer-songwriter;pop;
twoubadou;folk;
canzone genovese;folk;
west african jazz;jazz;
street band;soul;folk
ukrainian classical;classical;
khmer;folk;
dutch indie;rock;
south african alternative;folk;
afro psych;rock;electro
brazilian edm;electro;
dreamgaze;pop;
swedish americana;folk;
deep idm;electro;
tampa indie;rock;
classic latvian pop;classical;pop
modern old-time;classical;
deep latin christian;classical;
atlanta metal;metal;
21st century classical;classical;
jazz accordion;jazz;
chill pop;chill;pop
corrosion;metal;
classic bhangra;classical;
jazz metal;jazz;metal
belgian rock;rock;
griot;metal;
neo-pagan;folk;
dutch hip hop;rap;
lithuanian electronic;electro;
japanese pop punk;pop;rock
historic string quartet;classical;
dutch rap pop;rap;pop
bush ballad;folk;
british power metal;metal;
uk experimental electronic;electro;
popgaze;pop;
argentine reggae;reggae;
southern americana;folk;
cinematic post-rock;rock;
destroy techno;electro;
boston indie;rock;
vgm remix;electro;
indy indie;rock;
chilean indie;rock;
german pop rock;rock;pop
danish rock;rock;
south african jazz;jazz;
deep funk;r&b;soul
guitarra argentina;classical;
indonesian pop;pop;
worcester ma indie;rock;
trash rock;rock;
mollywood;classical;
polish contemporary classical;classical;
champeta;folk;
canadian choir;classical;
latino comedy;latino;
nightrun;electro;
norwegian singer-songwriter;pop;
trova mexicana;folk;
honky-tonk piano;reggae;
zouk;reggae;latino
finnish hard rock;rock;
viking folk;folk;
slow game;soul;
mississippi indie;rock;
american oi;rock;
post-post-hardcore;metal;
bleep techno;electro;
tagalog worship;classical;
mathcore;metal;
classical saxophone;classical;
jazz orchestra;jazz;
partido alto;latino;
indian indie;rock;
geek folk;folk;
virginia metal;metal;
popwave;pop;
space ambient;chill;
black punk;rock;
afro house;electro;
instrumental grime;electro;
deep soundtrack;classical;
chicano punk;rock;
indian fusion;jazz;
emocore;rock;metal
albuquerque indie;rock;
musica popular mineira;pop;
umbanda;folk;
dark minimal techno;electro;
classic iskelma;classical;
phoenix indie;rock;
pet calming;chill;
vocal ensemble;classical;
uk funky;r&b;soul
south carolina hip hop;rap;
latin talent show;pop;
finnish edm;electro;
romanian classical piano;classical;
spanish renaissance;classical;
louisiana metal;metal;
tolkien metal;metal;
dub poetry;electro;
arab groove;jazz;
san marcos tx indie;rock;
australian alternative pop;pop;
rif;rock;
sacred steel;metal;
fidget house;electro;
spanish indie pop;rock;pop
czech classical piano;classical;
edmonton indie;rock;
dunedin sound;pop;
el paso indie;rock;
argentine punk;rock;
makossa;folk;
baiao;pop;
go-go;r&b;
buffalo hip hop;rap;
gothabilly;rock;
latin house;electro;
denver indie;rock;
abstract beats;electro;
final fantasy;electro;
boston metal;metal;
montreal indie;rock;
western mass indie;rock;
diy emo;rock;
burmese traditional;folk;
classic punjabi pop;classical;pop
german hard rock;rock;
vintage gospel;blues;
trival;electro;
uk garage;electro;
russian chanson;folk;
maine indie;rock;
melodic groove metal;metal;
north carolina emo;rock;
witch house;electro;
classical piano trio;classical;
pittsburgh rock;rock;
pinoy indie;rock;
progressive sludge;metal;
norwegian metal;metal;
christian hard rock;rock;
milwaukee indie;rock;
american primitive;classical;
spanish metal;metal;
cumbia peruana;rock;latino
forro tradicional;folk;
paisley underground;rock;
chicago hardcore;metal;
soukous;folk;
canadian post-rock;rock;
hokkien pop;pop;
canadian pop punk;pop;rock
deep freestyle;rap;
vbs;electro;
denton tx indie;rock;
south african rock;rock;
pinoy hip hop;rap;
japanese heavy metal;metal;
nz indie;rock;
minecraft;chill;
tucson indie;rock;
german trance;electro;
denpa-kei;folk;
post-doom metal;metal;
puerto rican rock;rock;
swedish indie rock;rock;
dutch classical piano;classical;
piano mpb;folk;
gypsy punk;rock;
comedy rock;rock;
ontario indie;rock;
j-idol;pop;
oc indie;rock;
forro;folk;
cajun;folk;
dinner jazz;jazz;
folklore venezolano;folk;
ethnomusicology;folk;
nordic soundtrack;classical;
techno kayo;electro;
canadian hardcore;metal;
minneapolis punk;rock;
swiss metal;metal;
japanese traditional;folk;
chaotic hardcore;metal;
latvian pop;pop;
belgian dance;electro;
samba moderno;latino;
cuatro venezolano;folk;
broken beat;electro;jazz
soda pop;pop;
bergen indie;rock;
cumbia ecuatoriana;folk;
british post-rock;rock;
sound effects;electro;
focus trance;electro;
tango cancion;latino;
slc indie;rock;
bengali folk;folk;
cincinnati rap;rap;
colombian hip hop;rap;
virginia punk;rock;
samba de roda;latino;
mindfulness;chill;
spanish classical piano;classical;
chinese instrumental;folk;
dembow;rap;
visor;electro;
pop argentino;pop;
dakke dak;rock;
romanian pop;pop;
nottingham indie;rock;
dayton indie;rock;
technical deathcore;metal;
musica cristiana guatemalteca;classical;
psychill;chill;electro
scottish singer-songwriter;pop;
australian singer-songwriter;pop;
dunedin indie;rock;
saskatchewan indie;rock;
enka;folk;
rochester mn indie;rock;
afghan traditional;folk;
african rock;rock;
r&b en espanol;r&b;
nu skool breaks;electro;
rock independant francais;rock;
italian jazz;jazz;
florida death metal;metal;
pop electronico;electro;pop
charlotte nc indie;rock;
kentucky hip hop;rap;
electro-pop francais;electro;pop
chamber folk;folk;
slamming deathcore;metal;
swiss classical piano;classical;
plunderphonics;electro;
finnish alternative rock;rock;
christian a cappella;classical;
hip hop cubano;rap;
spanish baroque;classical;
chinese traditional;folk;
modern big band;;
aggrotech;;
south african hip hop;rap;
minneapolis metal;metal;
latintronica;latino;electro
lexington ky indie;rock;
son jarocho;;
adventista;;
hindi indie;rock;
medieval rock;rock;
chinese audiophile;;
klezmer;;
israeli folk;folk;
southampton indie;rock;
classic belgian pop;classical;pop
swedish dancehall;reggae;
turkish classical performance;classical;
chill guitar;chill;
musikkorps;;
taiwan classical performance;classical;
triangle indie;rock;
brazilian classical;classical;
native american spiritual;;
quran;;
jazz tuba;jazz;
greek contemporary classical;classical;
world meditation;chill;
mexican pop punk;pop;rock
cumbia pop;pop;
new tribe;electro;
children's story;chill;
caucasian classical;classical;
bansuri;;
alaska indie;rock;
japanese dream pop;pop;
swedish melodic rock;rock;
african reggae;reggae;
polish jazz;jazz;
belgian classical piano;classical;
arabic jazz;jazz;
romanian folk;folk;
chinese classical piano;classical;
pop nacional antigas;pop;
norwegian classical;classical;
panpipe;;
canadian rockabilly;rock;
czech contemporary classical;classical;
afro-funk;r&b;soul
bitpop;pop;
belgian indie;rock;
musica antigua;;
italian baroque ensemble;;
nerdcore;metal;
israeli classical;classical;
latin tech house;electro;
indian folk;folk;
gainesville indie;rock;
icelandic classical;classical;
audiophile vocal;;
japanese folk;folk;
samba-enredo;;
funk mexicano;r&b;soul
avant-garde metal;metal;
electrofox;electro;
idaho indie;rock;
japanese power metal;metal;
substep;electro;
nova musica pernambucana;;
new beat;;
hammered dulcimer;;
washboard;;
trap triste;rap;
nueva ola peruana;;
folklore peruano;folk;
indie singer-songwriter;rock;pop
trinidadian reggae;reggae;
old school rap francais;rap;
latin funk;r&b;soul
classic australian country;classical;country
christian hardcore;metal;
native american contemporary;;
nightcore;electro;
pinoy praise;;
zhongguo feng;;
buffalo ny metal;metal;
indie quebecois;rock;
music hall;;
asheville indie;rock;
chamame;;
cumbia chilena;;
neue deutsche harte;;
rock baiano;rock;
lo star;;
blackgaze;;
bossa nova jazz;jazz;
south african house;electro;
veena;;
japanese garage rock;rock;
musica tropical guatemalteca;;
nantes indie;rock;
japanese psychedelic;electro;rock
canto popular uruguayo;pop;
grindcore;metal;
punta;;
islamic recitation;;
detroit techno;electro;
ambient house;electro;
nz folk;folk;
south dakota indie;rock;
australian post-punk;rock;
russian choir;classical;
basshall;;
old school uk hip hop;rap;
barnmusik;;
folklore ecuatoriano;folk;
asmr;;
latin ska;reggae;rock
midwest americana;;
swedish stoner rock;rock;
xhosa;;
greek guitar;;
coco;;
funk ostentacao;r&b;soul
military cadence;;
deep southern soul;soul;
dub metal;metal;
nashville americana;;
baroque brass;;
french psychedelic;electro;rock
classic czech pop;classical;pop
dark disco;pop;
northern irish punk;rock;
australian underground hip hop;rap;
musica canaria;;
wyoming roots;;
instrumental acoustic guitar;;
rap conscient;rap;
deep dance pop;pop;electro
dutch metal;metal;
wyoming indie;rock;
skiffle;;
canadian folk;folk;
oceania soundtrack;classical;
cuban alternative;;
rai;;
louisville underground;;
australian r&b;r&b;
hamburg electronic;electro;
chamber ensemble;;
okc indie;rock;
dutch dnb;electro;
english indie rock;rock;
beatboxing;;
strut;;
detroit house;electro;
classical mandolin;classical;
volksmusik;;
gothic americana;;
swedish heavy metal;metal;
commons;;
british black metal;metal;
old-time fiddle;;
boy soprano;;
spanish techno;electro;
ambient techno;electro;
indie game soundtrack;classical;
lafayette indie;rock;
funk pop;r&b;pop
argentine heavy metal;metal;
finnish power metal;metal;
folclore tucumano;;
shush;;
canadian indigenous;;
cumbia funk;r&b;soul
musica hondurena;;
gaming dubstep;electro;
dutch cabaret;;
sound art;;
concert band;;
sandalwood;;
knoxville indie;rock;
futurepop;pop;
welsh metal;metal;
contrabass;;
vegan straight edge;;
deep punk rock;rock;
cedm;;
icelandic rock;rock;
cumbia paraguaya;;
norwegian rock;rock;
barbershop;;
vintage rockabilly;rock;
idol rock;rock;
ethnotronica;electro;
kora;;
canadian comedy;;
pinoy trap;rap;
oc rap;rap;
orthodox chant;;
french movie tunes;;
quebec death metal;metal;
j-ambient;chill;
polca paraguaya;;
japanese metalcore;metal;
chill beats;chill;
russian shoegaze;;
folclor afrocolombiano;;
baltimore hip hop;rap;
experimental guitar;;
oxford choir;classical;
jacksonville indie;rock;
hauntology;;
belarusian indie;rock;
musica para criancas;;
celtic metal;metal;
partyschlager;;
reggaeton cristiano;reggae;
cleveland metal;metal;
detskie pesni;;
japanese jazztronica;jazz;
psychedelic punk;rock;electro
messianic praise;;
indian edm;electro;
chicago pop punk;pop;rock
rwandan traditional;folk;
reading indie;rock;
opera metal;metal;
cathedral choir;classical;
autonomous black metal;metal;
wind quintet;;
british grindcore;metal;
jazz harp;jazz;
eurovision;;
garage punk blues;blues;rock
symphonic black metal;metal;
polynesian hip hop;rap;
cumbia ranchera;;
sovietwave;;
432hz;;
manchester hip hop;rap;
rap chileno;rap;
korean classical piano;classical;
rap napoletano;rap;
rennes indie;rock;
australian trap;rap;
tamil worship;;
vintage dutch pop;pop;
tagalog rap;rap;
birmingham grime;;
theremin;;
australian talent show;;
cameroonian pop;pop;
kentucky punk;rock;
bouncy house;electro;
deep disco house;pop;electro
chihuahua indie;rock;
swedish country;country;
carnatic instrumental;;
belgian pop;pop;
south african pop dance;pop;electro
north east england indie;rock;
hungarian choir;classical;
qawwali;;
quatuor a cordes;;
columbus ohio indie;rock;
dub techno;electro;
austrian pop;pop;
rock andaluz;rock;
eugene indie;rock;
pagan black metal;metal;
muzika l'yeladim;;
hawaiian hip hop;rap;
canadian classical;classical;
uk contemporary jazz;jazz;
trap dominicano;rap;
spanish hip hop;rap;
neo-traditional country;country;
classic norwegian pop;classical;pop
death 'n' roll;rock;
balearic;;
indian jazz;jazz;
mbalax;;
ukrainian electronic;electro;
norsk lovsang;;
swedish soul;soul;
egyptian pop;pop;
welsh folk;folk;
michigan indie;rock;
pittsburgh indie;rock;
bahamian pop;pop;
timba;;
russian folk rock;rock;folk
digital hardcore;metal;
belgian new wave;rock;pop
relaxative;chill;
japanese punk rock;rock;
danish pop rock;rock;pop
nordic contemporary classical;classical;
chill lounge;chill;
manitoba indie;rock;
irish fiddle;;
syrian pop;pop;
scottish fiddle;;
german house;electro;
rap kreyol;rap;
instrumental stoner rock;rock;
french shoegaze;;
russian alternative rock;rock;
japanese post-hardcore;metal;
greek folk;folk;
neue deutsche todeskunst;;
j-punk;rock;
american early music;;
swedish indie folk;rock;folk
folklore veracruzano;folk;
vaudeville;;
swedish tropical house;electro;
ambient idm;chill;
ny roots;;
canadian experimental;;
rochester ny indie;rock;
brisbane indie;rock;
ethio-jazz;jazz;
juju;;
noise punk;rock;
mallet;;
connecticut hardcore;metal;
zeuhl;;
jazz mexicano;jazz;
jazz venezolano;jazz;
post-metal;metal;
beat poetry;;
indiana hip hop;rap;
deep pop edm;pop;electro
huapango;;
beat italiano;;
finnish classical;classical;
balkan brass;;
uk post-hardcore;metal;
brazilian hip hop;rap;
power thrash;metal;
balkan classical piano;classical;
singaporean singer-songwriter;pop;
blues mexicano;blues;
icelandic experimental;;
ilocano pop;pop;
thai indie rock;rock;
speed garage;;
canadian indie folk;rock;folk
indie electronica;rock;electro
scottish metal;metal;
french hip hop;rap;
duluth indie;rock;
musical advocacy;;
irish metal;metal;
swiss pop;pop;
nordic post-rock;rock;
christchurch indie;rock;
classical piano duo;classical;
palestinian pop;pop;
soviet synthpop;pop;
belgian singer-songwriter;pop;
maine hip hop;rap;
atmospheric post-metal;metal;
huayno;;
modern swing;jazz;
russian jazz;jazz;
french techno;electro;
brazilian ska;reggae;rock
swedish eurodance;electro;
khaleeji iraqi;;
traditional funk;r&b;soul
wassoulou;soul;
venezuelan indie;rock;
greek jazz;jazz;
warm drone;;
geek rock;rock;
italian progressive metal;metal;
tuareg guitar;;
pinoy pop punk;pop;rock
emo mexicano;rock;latino
georgian folk;folk;
chinese jazz;jazz;
thai idol;;
american 21st century classical;classical;
jazz colombiano;jazz;
malaysian pop;pop;
iskelma;;
yoik;;
dangdut;;
funk paulista;r&b;soul
haryanvi pop;pop;
dutch prog;electro;
punjabi hip hop;rap;
canadian latin;latino;
medieval;classical;
autoharp;;
experimental jazz;jazz;
kabarett;;
faroese pop;pop;
russian dance;electro;
albanian pop;pop;
german post-hardcore;metal;
christelijk;;
kaneka;;
solipsynthm;classical;
rockabilly en espanol;rock;
alabama metal;metal;
macedonian folk;folk;
japanese vocal jazz;jazz;
detske pisnicky;;
belgian techno;electro;
russian trance;electro;
psybass;electro;
blackened crust;;
corridos cristianos;;
zurich indie;rock;
concepcion indie;rock;
taiwan hip hop;rap;
celtic harp;;
miami indie;rock;
armenian folk;folk;
australian classical;classical;
italian blues;blues;
uk house;electro;
gothic black metal;metal;
boy pop;pop;
nuevo folklore mexicano;folk;
sevillanas;;
nova canco;;
argentine metal;metal;
estonian hip hop;rap;
tajik pop;pop;
indonesian indie;rock;
hiplife;;
spanish modern rock;rock;
american metalcore;metal;
danish hip hop;rap;
bandinhas;;
italian gothic;;
yorkshire folk;folk;
birdsong;;
swiss black metal;metal;
turkish edm;electro;
chinese classical;classical;
marathi pop;pop;
uzbek traditional;folk;
korean indie rock;rock;
sarod;;
ritmo kombina;;
dallas indie;rock;
new york death metal;metal;
native american hip hop;rap;
danish electropop;electro;pop
punk rock italiano;rock;
reggaeton mexicano;reggae;
iowa hip hop;rap;
breakcore;metal;
deep acoustic pop;pop;
italian techno;electro;
guatemalan pop;pop;
swedish doom metal;metal;
brega;;
vienna indie;rock;
danish singer-songwriter;pop;
folclor colombiano;;
kolsche karneval;;
instrumental math rock;rock;
lo-fi house;electro;
brazilian modern jazz;jazz;
neurofunk;r&b;soul
chinese soundtrack;classical;
japanese indie rock;rock;
peruvian hip hop;rap;
vogue;;
funk 150 bpm;r&b;soul
duduk;;
polish modern jazz;jazz;
swedish choir;classical;
humppa;;
birmingham hip hop;rap;
nz punk;rock;
dusseldorf electronic;electro;
arizona punk;rock;
experimental folk;folk;
deep techno;electro;
french dnb;electro;
wave;chill;
norwegian death metal;metal;
uk diy punk;rock;
neo-kraut;;
fast melodic punk;rock;
korean mask singer;;
ska jazz;jazz;reggae
folclore extremeno;folk;
guitarra portuguesa;;
musique peule;;
scratch;;
punk rock mexicano;rock;
french indie folk;rock;folk
panamanian rock;rock;
german renaissance;;
musica gaucha tradicionalista;;
scandinavian r&b;r&b;
rock progressif francais;rock;
tennessee metal;metal;
marimba orquesta;;
greek swing;;
yoga;chill;
tipico;;
pop rock brasileiro;rock;pop
deep classic garage rock;rock;classical
dark hardcore;metal;
cornwall indie;rock;
spiritual hip hop;rap;
brazilian contemporary classical;classical;
german underground rap;rap;
finnish contemporary classical;classical;
jamtronica;chill;
indonesian hip hop;rap;
german oi;;
braindance;electro;
deep latin alternative;;
alt-idol;;
gqom;;
cumbia santafesina;;
polish rock;rock;
japanese rockabilly;rock;
charango;;
euroska;reggae;rock
ukrainian pop;pop;
brain waves;;
deep northern soul;soul;
binaural;;
middle east hip hop;rap;
swiss country;country;
slovenian electronic;electro;
greek house;electro;
tamil hip hop;rap;
chilean hardcore;metal;
hungarian pop;pop;
indie shoegaze;rock;
deep progressive house;electro;
belgian contemporary classical;classical;
oratory;;
musica alagoana;;
swedish prog;;
swedish hardcore;metal;
serbian electronic;electro;
french contemporary classical;classical;
israeli hip hop;rap;
circus;;
sotalaulut;;
hungarian techno;electro;
swiss rock;rock;
west virginia indie;rock;
caracas indie;rock;
cypriot pop;pop;
norwegian experimental;;
oshare kei;;
musica aragonesa;;
irish dance;electro;
dc indie;rock;
goregrind;metal;
chattanooga indie;rock;
slovenian metal;metal;
footwork;;
bajki;;
pianissimo;;
rock brasiliense;rock;
jazz chileno;jazz;
south african country;country;
yugoslav new wave;rock;pop
slavic folk metal;folk;metal
nuevo tango;;
experimental house;electro;
hong kong rock;rock;
rock gaucho;rock;
villancicos;;
guzheng;;
folclore navarra;;
deep r&b;r&b;
musica paraibana;;
guaracha;;
boom bap brasileiro;;
epic doom;metal;
histoire pour enfants;;
west australian hip hop;rap;
russian ccm;;
gabonese pop;pop;
australian post-hardcore;metal;
deep psychobilly;electro;rock
outer hip hop;rap;
atmospheric sludge;;
lo-fi cover;;
egyptian traditional;folk;
hong kong indie;rock;
stomp and whittle;;
ethiopian pop;pop;
eastern bloc groove;;
vietnamese bolero;;
morna;;
mongolian hip hop;rap;
martial industrial;;
vgm instrumental;electro;
tamaulipas indie;rock;
pop chileno;pop;
musica popular paraense;pop;
breton folk;folk;
hard rock brasileiro;rock;
gypsy;classical;
musica ayacuchana;;
indian instrumental;;
classic tunisian pop;classical;pop
arabic hip hop;rap;
western saharan folk;folk;
musica costarricense;;
musique concrete;;
irish indie;rock;
springfield mo indie;rock;
danish alternative rock;rock;
black 'n' roll;rock;
lute;;
tamaulipas rap;rap;
jewish cantorial;;
spanish noise pop;pop;
atmospheric post-rock;rock;
dansband;;
cambridgeshire indie;rock;
women's choir;classical;
monterrey indie;rock;
swedish metalcore;metal;
north carolina metal;metal;
komedi;;
quartetto d'archi;;
guinean pop;pop;
shabad;;
sefardi;;
bath indie;rock;
hawaiian indie;rock;
dutch folk;folk;
cosmic post-rock;rock;
viking black metal;metal;
miami metal;metal;
uk dub;;
modern performance;;
australian choir;classical;
deep space rock;rock;
thai folk;folk;
italian power metal;metal;
kleine hoerspiel;;
afro soul;soul;
classic icelandic pop;classical;pop
portland metal;metal;
dabke;;
nepali pop;pop;
musica afroperuana;;
german heavy metal;metal;
japanese jazz fusion;jazz;
musica andina colombiana;;
ohio indie;rock;
afrofuturismo brasileiro;;
nz christian;;
spanish folk metal;folk;metal
trio cubano;;
thai folk rock;rock;folk
experimental indie;rock;
swedish house;electro;
liedermacher;;
italian modern prog;;
capoeira;;
classic indo pop;classical;pop
trap venezolano;rap;
nepali indie;rock;
instrumental progressive metal;metal;
purple sound;;
baton rouge indie;rock;
dungeon synth;;
russian edm;electro;
german indie;rock;
australian ska;reggae;rock
christian dance;electro;
flick hop;;
rock pernambucano;rock;
chanson paillarde;;
spanish synthpop;pop;
funana;;
alberta hip hop;rap;
ilahiler;;
swedish post-hardcore;metal;
newcastle nsw indie;rock;
university choir;classical;
veracruz indie;rock;
lldm;;
berlin minimal techno;electro;
russian punk;rock;
modern uplift;;
australian metal;metal;
belgian indie rock;rock;
kashmiri pop;pop;
baltic classical;classical;
newcastle indie;rock;
norwegian pop rap;rap;pop
danseband;;
modular synth;;
trance mexicano;;
melbourne indie;rock;
lo-fi brasileiro;;
hungarian folk;folk;
modern string quartet;;
finnish soul;soul;
brass quintet;;
contemporary choir;classical;
italian metal;metal;
essex indie;rock;
tulsa indie;rock;
asbury park indie;rock;
irish ballad;;
j-reggae;reggae;
icelandic electronic;electro;
gothic alternative;;
indonesian r&b;r&b;
kentucky indie;rock;
japanese experimental;;
san antonio rap;rap;
belgian jazz;jazz;
trap mexicano;rap;
ghent indie;rock;
folclore jujeno;;
perth indie;rock;
devon indie;rock;
pornogrind;metal;
pakistani hip hop;rap;
oriental classical;classical;
swedish underground rap;rap;
mexican son;;
experimental dub;electro;
italian pop rock;rock;pop
japanese electronic;electro;
brazilian metal;metal;
gospel antigas;blues;
ryukyu ongaku;;
israeli techno;electro;
classic eurovision;classical;
norwegian punk rock;rock;
depressive black metal;metal;
alte;;
rhode island rap;rap;
brutal deathcore;metal;
modern psychedelic folk;folk;electro
gujarati garba;;
argentine telepop;pop;
chiptune;;
indonesian worship;;
icelandic jazz;jazz;
guam indie;rock;
norwegian hip hop;rap;
scottish jazz;jazz;
finnish death metal;metal;
uk rockabilly;rock;
christmas product;;
ambient industrial;;
cornish folk;folk;
kabyle;;
ghanaian traditional;folk;
russian metalcore;metal;
variete francaise;pop;
ambient black metal;metal;
nubian traditional;folk;
lo-fi vgm;electro;
singing bowl;;
skramz;;
kawaii metal;metal;
psalmen;;
japanese girl punk;rock;
australian ambient;chill;
chakra;;
wisconsin indie;rock;
